,model,DIC
0,v_reg,-40092.303786661854
1,vsv_reg,-40083.81233651957
2,v_block_reg,-40178.891002605036
3,v_blocksv_reg,-40193.02113925757
4,vst_reg,-42250.404372596124
5,vsvst_reg,-42249.92320772396
6,v_blockst_reg,-42370.81051835987
7,v_blocksvst_reg,-42369.090779358485
