"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
77,1,266,"congruent","most_incon",3,0.335581950460944,-3.7593984962406,16,-0.384929515245736,0.332,-3.01204819277108,"congruent"
77,0,255,"congruent","most_incon",3,0.357232398877779,-3.92156862745098,17,-0.299389622968906,0.266,-3.7593984962406,"congruent"
77,1,329,"congruent","most_incon",3,0.378882847294614,-3.03951367781155,18,-0.213849730692075,0.255,-3.92156862745098,"congruent"
77,1,284,"incongruent","most_incon",3,0.40053329571145,-3.52112676056338,19,-0.128309838415245,0.329,-3.03951367781155,"incongruent_most_incon"
77,0,290,"incongruent","most_incon",3,0.422183744128285,-3.44827586206897,20,-0.0427699461384151,0.284,-3.52112676056338,"incongruent_most_incon"
77,1,279,"incongruent","most_incon",3,0.44383419254512,-3.584229390681,21,0.0427699461384151,0.29,-3.44827586206897,"incongruent_most_incon"
77,1,269,"congruent","most_incon",3,0.465484640961955,-3.71747211895911,22,0.128309838415245,0.279,-3.584229390681,"congruent"
77,1,395,"incongruent","most_incon",3,0.48713508937879,-2.53164556962025,23,0.213849730692075,0.269,-3.71747211895911,"incongruent_most_incon"
77,1,393,"incongruent","most_incon",3,0.508785537795625,-2.54452926208651,24,0.299389622968906,0.395,-2.53164556962025,"incongruent_most_incon"
77,1,391,"congruent","most_incon",3,0.53043598621246,-2.55754475703325,25,0.384929515245736,0.393,-2.54452926208651,"congruent"
77,0,309,"incongruent","most_incon",3,0.552086434629295,-3.23624595469256,26,0.470469407522566,0.391,-2.55754475703325,"incongruent_most_incon"
77,1,427,"congruent","most_incon",3,0.57373688304613,-2.34192037470726,27,0.556009299799396,0.309,-3.23624595469256,"congruent"
77,1,489,"incongruent","most_incon",3,0.595387331462966,-2.04498977505112,28,0.641549192076226,0.427,-2.34192037470726,"incongruent_most_incon"
77,1,374,"congruent","most_incon",3,0.617037779879801,-2.67379679144385,29,0.727089084353056,0.489,-2.04498977505112,"congruent"
77,1,308,"congruent","most_incon",3,0.638688228296636,-3.24675324675325,30,0.812628976629887,0.374,-2.67379679144385,"congruent"
77,1,314,"incongruent","most_incon",3,0.660338676713471,-3.18471337579618,31,0.898168868906717,0.308,-3.24675324675325,"incongruent_most_incon"
77,1,353,"congruent","most_incon",3,0.681989125130306,-2.8328611898017,32,0.983708761183547,0.314,-3.18471337579618,"congruent"
77,1,382,"incongruent","most_incon",3,0.703639573547141,-2.61780104712042,33,1.06924865346038,0.353,-2.8328611898017,"incongruent_most_incon"
77,1,436,"incongruent","most_incon",3,0.725290021963976,-2.29357798165138,34,1.15478854573721,0.382,-2.61780104712042,"incongruent_most_incon"
77,1,370,"incongruent","most_incon",3,0.746940470380811,-2.7027027027027,35,1.24032843801404,0.436,-2.29357798165138,"incongruent_most_incon"
77,1,392,"incongruent","most_incon",3,0.768590918797647,-2.55102040816327,36,1.32586833029087,0.37,-2.7027027027027,"incongruent_most_incon"
77,0,373,"incongruent","most_incon",3,0.790241367214482,-2.68096514745308,37,1.4114082225677,0.392,-2.55102040816327,"incongruent_most_incon"
77,1,508,"incongruent","most_incon",3,0.811891815631317,-1.96850393700787,38,1.49694811484453,0.373,-2.68096514745308,"incongruent_most_incon"
77,1,314,"incongruent","most_incon",3,0.833542264048152,-3.18471337579618,39,1.58248800712136,0.508,-1.96850393700787,"incongruent_most_incon"
77,1,376,"incongruent","most_incon",3,0.855192712464987,-2.65957446808511,40,1.66802789939819,0.314,-3.18471337579618,"incongruent_most_incon"
77,1,317,"congruent","most_con",4,0.876843160881822,-3.15457413249211,1,-1.66802789939819,NA,NA,"congruent"
77,1,403,"congruent","most_con",4,0.898493609298657,-2.48138957816377,2,-1.58248800712136,0.317,-3.15457413249211,"congruent"
77,1,369,"congruent","most_con",4,0.920144057715492,-2.710027100271,3,-1.49694811484453,0.403,-2.48138957816377,"congruent"
77,1,375,"congruent","most_con",4,0.941794506132327,-2.66666666666667,4,-1.4114082225677,0.369,-2.710027100271,"congruent"
77,1,445,"congruent","most_con",4,0.963444954549162,-2.24719101123596,5,-1.32586833029087,0.375,-2.66666666666667,"congruent"
77,1,323,"congruent","most_con",4,0.985095402965998,-3.09597523219814,6,-1.24032843801404,0.445,-2.24719101123596,"congruent"
77,1,505,"congruent","most_con",4,1.00674585138283,-1.98019801980198,7,-1.15478854573721,0.323,-3.09597523219814,"congruent"
77,1,557,"congruent","most_con",4,1.02839629979967,-1.79533213644524,8,-1.06924865346038,0.505,-1.98019801980198,"congruent"
77,1,540,"incongruent","most_con",4,1.0500467482165,-1.85185185185185,9,-0.983708761183547,0.557,-1.79533213644524,"incongruent_most_con"
77,1,466,"congruent","most_con",4,1.07169719663334,-2.14592274678112,10,-0.898168868906717,0.54,-1.85185185185185,"congruent"
77,1,393,"incongruent","most_con",4,1.09334764505017,-2.54452926208651,11,-0.812628976629887,0.466,-2.14592274678112,"incongruent_most_con"
77,1,319,"congruent","most_con",4,1.11499809346701,-3.13479623824451,12,-0.727089084353056,0.393,-2.54452926208651,"congruent"
77,1,292,"congruent","most_con",4,1.13664854188384,-3.42465753424658,13,-0.641549192076226,0.319,-3.13479623824451,"congruent"
77,1,482,"incongruent","most_con",4,1.15829899030068,-2.0746887966805,14,-0.556009299799396,0.292,-3.42465753424658,"incongruent_most_con"
77,1,576,"congruent","most_con",4,1.17994943871751,-1.73611111111111,15,-0.470469407522566,0.482,-2.0746887966805,"congruent"
77,1,405,"congruent","most_con",4,1.20159988713435,-2.46913580246914,16,-0.384929515245736,0.576,-1.73611111111111,"congruent"
77,1,324,"incongruent","most_con",4,1.22325033555118,-3.08641975308642,17,-0.299389622968906,0.405,-2.46913580246914,"incongruent_most_con"
77,1,338,"congruent","most_con",4,1.24490078396802,-2.9585798816568,18,-0.213849730692075,0.324,-3.08641975308642,"congruent"
77,1,600,"incongruent","most_con",4,1.26655123238485,-1.66666666666667,19,-0.128309838415245,0.338,-2.9585798816568,"incongruent_most_con"
77,1,285,"congruent","most_con",4,1.28820168080169,-3.50877192982456,20,-0.0427699461384151,0.6,-1.66666666666667,"congruent"
77,1,387,"incongruent","most_con",4,1.30985212921852,-2.58397932816537,21,0.0427699461384151,0.285,-3.50877192982456,"incongruent_most_con"
