"subj_idx","response","rt","stim","cond","trial_z","trial","rt_log_trim_grp","prev_rt"
1,1,1.366,"negative_unfamiliar","no_conflict",-1.61500423500076,1,3.13545069934551,NA
1,1,0.757,"positive","no_conflict",-1.56689772587308,2,2.87909587950007,1.366
1,1,1.028,"negative_rc","conflict",-1.5187912167454,3,3.01199311465926,0.757
1,1,0.9,"positive","no_conflict",-1.47068470761772,4,2.95424250943932,1.028
1,1,NA,"negative_highly_familiar","conflict",-1.42257819849003,5,NA,0.9
1,1,1.282,"positive","no_conflict",-1.37447168936235,6,3.1078880251828,1.739
1,1,NA,"negative_familiar","conflict",-1.32636518023467,7,NA,1.282
1,1,0.952,"positive","no_conflict",-1.27825867110699,8,2.97863694838447,1.729
1,1,1.063,"positive","no_conflict",-1.2301521619793,9,3.0265332645233,0.952
1,1,0.982,"negative_rc","conflict",-1.18204565285162,10,2.99211148778695,1.063
1,1,1.237,"negative_familiar","conflict",-1.13393914372394,11,3.09236969962912,0.982
1,1,1.309,"positive","no_conflict",-1.08583263459626,12,3.11693964655076,1.237
1,1,NA,"positive","no_conflict",-1.03772612546857,13,NA,1.309
1,1,0.851,"negative_rc","conflict",-0.989619616340893,14,2.92992956008459,2.148
1,1,0.938,"negative_highly_familiar","conflict",-0.94151310721321,15,2.97220283837906,0.851
1,1,1.057,"positive","no_conflict",-0.893406598085528,16,3.02407498730743,0.938
1,0,1.04,"positive","no_conflict",-0.845300088957846,17,3.01703333929878,1.057
1,1,0.999,"negative_unfamiliar","no_conflict",-0.797193579830163,18,2.99956548822598,1.04
1,1,0.791,"positive","no_conflict",-0.749087070702481,19,2.89817648349768,0.999
1,1,0.638,"negative_highly_familiar","conflict",-0.700980561574799,20,2.80482067872116,0.791
1,1,0.877,"positive","no_conflict",-0.652874052447117,21,2.94299959336604,0.638
1,1,0.924,"negative_familiar","conflict",-0.604767543319434,22,2.96567197122011,0.877
1,NA,NA,"negative_unfamiliar","no_conflict",-0.556661034191752,23,NA,0.924
1,1,1.378,"positive","no_conflict",-0.50855452506407,24,3.13924921757161,NA
1,1,1.593,"negative_highly_familiar","conflict",-0.460448015936387,25,3.20221577580113,1.378
1,1,0.92,"positive","no_conflict",-0.412341506808705,26,2.96378782734556,1.593
1,1,0.92,"negative_familiar","conflict",-0.364234997681023,27,2.96378782734556,0.92
1,0,0.927,"positive","no_conflict",-0.316128488553341,28,2.9670797341445,0.92
1,1,1.55,"positive","no_conflict",-0.268021979425658,29,3.19033169817029,0.927
1,1,1.197,"negative_rc","conflict",-0.219915470297976,30,3.07809415040641,1.55
1,1,0.772,"positive","no_conflict",-0.171808961170294,31,2.88761730033574,1.197
1,1,1.267,"negative_highly_familiar","conflict",-0.123702452042611,32,3.10277661488344,0.772
1,1,0.642,"positive","no_conflict",-0.0755959429149292,33,2.80753502806885,1.267
1,1,1.05,"negative_unfamiliar","no_conflict",-0.0274894337872469,34,3.02118929906994,0.642
1,1,1.313,"positive","no_conflict",0.0206170753404354,35,3.11826472608948,1.05
1,1,1.064,"negative_unfamiliar","no_conflict",0.0687235844681176,36,3.02694162795903,1.313
1,0,0.855,"positive","no_conflict",0.1168300935958,37,2.93196611472817,1.064
1,0,0.982,"negative_rc","conflict",0.164936602723482,38,2.99211148778695,0.855
1,1,1.133,"negative_highly_familiar","conflict",0.213043111851164,39,3.0542299098634,0.982
1,1,1.22,"positive","no_conflict",0.261149620978847,40,3.08635983067475,1.133
1,1,0.731,"positive","no_conflict",0.309256130106529,41,2.86391737695786,1.22
1,1,1.363,"negative_familiar","conflict",0.357362639234211,42,3.13449585583467,0.731
1,1,0.683,"negative_unfamiliar","no_conflict",0.405469148361894,43,2.83442070368153,1.363
1,1,0.969,"positive","no_conflict",0.453575657489576,44,2.98632377705077,0.683
1,1,1.256,"positive","no_conflict",0.501682166617258,45,3.09898963940118,0.969
