"subj_idx","response","rt","stim","block","block_number","trial_z","trial","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv","stimblock"
15,1,582,"incongruent","most_con",4,0.876843160881822,121,-1.71821305841924,1,-1.66802789939819,NA,NA,"incongruent_most_con"
15,1,731,"incongruent","most_con",4,0.898493609298657,122,-1.36798905608755,2,-1.58248800712136,0.582,-1.71821305841924,"incongruent_most_con"
15,1,624,"congruent","most_con",4,0.920144057715492,123,-1.6025641025641,3,-1.49694811484453,0.731,-1.36798905608755,"congruent"
15,1,526,"congruent","most_con",4,0.941794506132327,124,-1.90114068441065,4,-1.4114082225677,0.624,-1.6025641025641,"congruent"
15,1,612,"incongruent","most_con",4,0.963444954549162,125,-1.63398692810458,5,-1.32586833029087,0.526,-1.90114068441065,"incongruent_most_con"
15,1,NA,"congruent","most_con",4,0.985095402965998,126,-1.31233595800525,6,-1.24032843801404,0.612,-1.63398692810458,"congruent"
15,NA,NA,"congruent","most_con",4,1.00674585138283,127,NA,7,-1.15478854573721,0.762,-1.31233595800525,"congruent"
15,1,629,"incongruent","most_con",4,1.02839629979967,128,-1.58982511923688,8,-1.06924865346038,NA,NA,"incongruent_most_con"
15,1,571,"congruent","most_con",4,1.0500467482165,129,-1.75131348511384,9,-0.983708761183547,0.629,-1.58982511923688,"congruent"
15,1,520,"congruent","most_con",4,1.07169719663334,130,-1.92307692307692,10,-0.898168868906717,0.571,-1.75131348511384,"congruent"
15,1,550,"congruent","most_con",4,1.09334764505017,131,-1.81818181818182,11,-0.812628976629887,0.52,-1.92307692307692,"congruent"
15,1,532,"congruent","most_con",4,1.11499809346701,132,-1.8796992481203,12,-0.727089084353056,0.55,-1.81818181818182,"congruent"
15,1,457,"incongruent","most_con",4,1.13664854188384,133,-2.18818380743982,13,-0.641549192076226,0.532,-1.8796992481203,"incongruent_most_con"
15,1,431,"congruent","most_con",4,1.15829899030068,134,-2.32018561484919,14,-0.556009299799396,0.457,-2.18818380743982,"congruent"
15,1,501,"congruent","most_con",4,1.17994943871751,135,-1.99600798403194,15,-0.470469407522566,0.431,-2.32018561484919,"congruent"
15,1,355,"congruent","most_con",4,1.20159988713435,136,-2.8169014084507,16,-0.384929515245736,0.501,-1.99600798403194,"congruent"
15,1,384,"congruent","most_con",4,1.22325033555118,137,-2.60416666666667,17,-0.299389622968906,0.355,-2.8169014084507,"congruent"
15,1,437,"congruent","most_con",4,1.24490078396802,138,-2.2883295194508,18,-0.213849730692075,0.384,-2.60416666666667,"congruent"
