subj_idx,response,rt,cond,stim,trial_z,rt_log_trim_grp,prev_rt,prev_rt_z,prev_error,id,since_nogo,since_nogo_z,block_trial_z,DISINH,ANTAG
1,1,0,ThreeGo,NoGo,-1.075304208,0,2.618048097,0.25722066,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,336,SevenGo,Go,-1.060870595,2.526339277,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,278,SevenGo,Go,-1.046436981,2.444044796,2.526339277,-0.84046615,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,411,SevenGo,Go,-1.032003368,2.613841822,2.444044796,-1.825470291,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,433,SevenGo,Go,-1.017569754,2.636487896,2.613841822,0.206874658,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,359,SevenGo,Go,-1.003136141,2.555094449,2.636487896,0.477931437,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,357,SevenGo,Go,-0.988702527,2.552668216,2.555094449,-0.496287996,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,354,SevenGo,Go,-0.974268914,2.549003262,2.552668216,-0.525328206,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,-0.9598353,0,2.549003262,-0.569194999,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,436,FiveGo,Go,-0.945401687,2.639486489,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,401,FiveGo,Go,-0.930968073,2.603144373,2.639486489,0.513822379,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,NA,FiveGo,Go,-0.916534459,NA,2.603144373,0.078834094,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,477,FiveGo,Go,-0.902100846,2.678518379,NA,NA,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,379,FiveGo,Go,-0.887667232,2.57863921,2.678518379,0.981005261,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,-0.873233619,0,2.57863921,-0.214474598,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,331,FiveGo,Go,-0.858800005,2.519827994,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,273,FiveGo,Go,-0.844366392,2.436162647,2.519827994,-0.918401404,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,312,FiveGo,Go,-0.829932778,2.494154594,2.436162647,-1.919813789,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,262,FiveGo,Go,-0.815499165,2.418301291,2.494154594,-1.225693031,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,331,FiveGo,Go,-0.801065551,2.519827994,2.418301291,-2.133601021,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,-0.786631938,0,2.519827994,-0.918401404,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,540,OneGo,Go,-0.772198324,2.73239376,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,0,OneGo,NoGo,-0.757764711,0,2.73239376,1.625853764,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,460,SevenGo,Go,-0.743331097,2.662757832,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,410,SevenGo,Go,-0.728897483,2.612783857,2.662757832,0.792363154,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,441,SevenGo,Go,-0.71446387,2.644438589,2.612783857,0.194211596,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,431,SevenGo,Go,-0.700030256,2.63447727,2.644438589,0.57309536,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,492,SevenGo,Go,-0.685596643,2.691965103,2.63447727,0.453865727,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,466,SevenGo,Go,-0.671163029,2.668385917,2.691965103,1.14195261,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,400,SevenGo,Go,-0.656729416,2.602059991,2.668385917,0.859727173,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,0,294,SevenGo,NoGo,-0.642295802,2.46834733,2.602059991,0.065854851,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,568,ThreeGo,Go,-0.627862189,2.754348336,2.46834733,-1.534586909,1,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,NA,ThreeGo,Go,-0.613428575,NA,2.754348336,1.888633817,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,508,ThreeGo,Go,-0.598994962,2.705863712,NA,NA,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,0,ThreeGo,NoGo,-0.584561348,0,2.705863712,1.308308697,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,NA,ThreeGo,Go,-0.570127735,NA,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,462,ThreeGo,Go,-0.555694121,2.664641976,NA,NA,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,532,ThreeGo,Go,-0.541260508,2.725911632,2.664641976,0.814914964,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,0,ThreeGo,NoGo,-0.526826894,0,2.725911632,1.548267487,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,500,OneGo,Go,-0.51239328,2.698970004,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,0,OneGo,NoGo,-0.497959667,0,2.698970004,1.225796106,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,502,FiveGo,Go,-0.483526053,2.700703717,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,NA,FiveGo,Go,-0.46909244,NA,2.700703717,1.246547367,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,378,FiveGo,Go,-0.454658826,2.5774918,NA,NA,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,375,FiveGo,Go,-0.440225213,2.574031268,2.5774918,-0.228208249,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,429,FiveGo,Go,-0.425791599,2.632457292,2.574031268,-0.269628262,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,0,FiveGo,NoGo,-0.411357986,0,2.632457292,0.429688083,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,254,SevenGo,Go,-0.396924372,2.404833717,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,379,SevenGo,Go,-0.382490759,2.57863921,2.404833717,-2.29479794,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,409,SevenGo,Go,-0.368057145,2.611723308,2.57863921,-0.214474598,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,343,SevenGo,Go,-0.353623532,2.53529412,2.611723308,0.181517612,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,421,SevenGo,Go,-0.339189918,2.624282096,2.53529412,-0.733283299,0,1,4,0.727592158,0.727592158,-1.338,-1.221
1,1,483,SevenGo,Go,-0.324756305,2.683947131,2.624282096,0.331837023,0,1,5,1.212653597,1.212653597,-1.338,-1.221
1,1,339,SevenGo,Go,-0.310322691,2.530199698,2.683947131,1.045983409,0,1,6,1.697715035,1.697715035,-1.338,-1.221
1,1,0,SevenGo,NoGo,-0.295889077,0,2.530199698,-0.794259765,0,1,7,2.182776474,2.182776474,-1.338,-1.221
1,1,474,OneGo,Go,-0.281455464,2.675778342,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,0,OneGo,NoGo,-0.26702185,0,2.675778342,0.948209039,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,458,SevenGo,Go,-0.252588237,2.660865478,NA,NA,0,1,0,-1.212653597,-1.212653597,-1.338,-1.221
1,1,NA,SevenGo,Go,-0.238154623,NA,2.660865478,0.769713079,0,1,1,-0.727592158,-0.727592158,-1.338,-1.221
1,1,438,SevenGo,Go,-0.22372101,2.641474111,NA,NA,0,1,2,-0.242530719,-0.242530719,-1.338,-1.221
1,1,499,SevenGo,Go,-0.209287396,2.698100546,2.641474111,0.537612737,0,1,3,0.242530719,0.242530719,-1.338,-1.221
1,1,338,SevenGo,Go,-0.194853783,2.5289167,2.698100546,1.215389327,0,1,4,0.727592158,0.727592158,-1.338,-1.221
