"subj_idx","response","rt","cond","stim","stim_cond","trial_z","rt_log_trim_grp","prev_rt","block_trial"
1,1,486,"ThreeGo","Go","Go_ThreeGo",-1.71038320383982,2.68663626926229,0.42,2
1,1,380,"ThreeGo","Go","Go_ThreeGo",-1.69594959030531,2.57978359661681,0,3
1,1,0,"ThreeGo","NoGo","NoGo_ThreeGo",-1.6815159767708,0,0.37,4
1,1,533,"FiveGo","Go","Go_FiveGo",-1.66708236323628,2.72672720902657,0.438,1
1,1,467,"FiveGo","Go","Go_FiveGo",-1.65264874970177,2.66931688056611,0.393,2
1,1,497,"FiveGo","Go","Go_FiveGo",-1.63821513616726,2.69635638873333,0.428,3
1,1,422,"FiveGo","Go","Go_FiveGo",-1.62378152263274,2.62531245096167,0.44,4
1,1,468,"FiveGo","Go","Go_FiveGo",-1.60934790909823,2.67024585307412,0.388,5
1,1,0,"FiveGo","NoGo","NoGo_FiveGo",-1.59491429556372,0,0.415,6
1,1,389,"OneGo","Go","Go_OneGo",-1.5804806820292,2.58994960132571,0,1
1,1,0,"OneGo","NoGo","NoGo_OneGo",-1.56604706849469,0,0.421,2
1,1,510,"SevenGo","Go","Go_SevenGo",-1.55161345496018,2.70757017609794,0.393,1
1,1,484,"SevenGo","Go","Go_SevenGo",-1.53717984142566,2.68484536164441,0.461,2
1,1,426,"SevenGo","Go","Go_SevenGo",-1.52274622789115,2.62940959910272,0.432,3
1,1,431,"SevenGo","Go","Go_SevenGo",-1.50831261435664,2.63447727016073,0.411,4
1,1,445,"SevenGo","Go","Go_SevenGo",-1.49387900082212,2.64836001098093,0,5
1,1,507,"SevenGo","Go","Go_SevenGo",-1.47944538728761,2.70500795933334,0.442,6
1,1,457,"SevenGo","Go","Go_SevenGo",-1.4650117737531,2.65991620006985,0.39,7
1,1,0,"SevenGo","NoGo","NoGo_SevenGo",-1.45057816021858,0,0.433,8
1,1,569,"SevenGo","Go","Go_SevenGo",-1.43614454668407,2.75511226639507,0,9
1,1,351,"SevenGo","Go","Go_SevenGo",-1.42171093314956,2.54530711646582,0.4,10
1,1,333,"SevenGo","Go","Go_SevenGo",-1.40727731961504,2.52244423350632,0.412,11
1,1,434,"SevenGo","Go","Go_SevenGo",-1.39284370608053,2.63748972951251,0.423,12
1,1,480,"SevenGo","Go","Go_SevenGo",-1.37841009254602,2.68124123737559,0.418,13
1,1,374,"SevenGo","Go","Go_SevenGo",-1.3639764790115,2.57287160220048,0.43,14
1,1,420,"SevenGo","Go","Go_SevenGo",-1.34954286547699,2.6232492903979,0,15
1,0,322,"SevenGo","NoGo","NoGo_SevenGo",-1.33510925194248,2.50785587169583,0.397,16
1,1,549,"OneGo","Go","Go_OneGo",-1.32067563840796,2.73957234445009,0,3
1,1,0,"OneGo","NoGo","NoGo_OneGo",-1.30624202487345,0,0.387,4
1,1,510,"ThreeGo","Go","Go_ThreeGo",-1.29180841133894,2.70757017609794,0.407,5
1,1,435,"ThreeGo","Go","Go_ThreeGo",-1.27737479780442,2.63848925695464,0.427,6
1,1,465,"ThreeGo","Go","Go_ThreeGo",-1.26294118426991,2.66745295288995,0.405,7
