"subj_idx","response","rt","stim","cond","trial_z","rt_log_trim_grp","prev_rt"
1,1,1141,"positive","no_conflict",1.80055791306468,3.05728564441821,1.238
2,1,534,"negative_unfamiliar","no_conflict",-1.61500423500076,2.72754125702856,1.141
2,0,854,"positive","no_conflict",-1.56689772587308,2.931457870689,0.534
2,1,573,"negative_rc","conflict",-1.5187912167454,2.75815462196739,0.854
2,1,1124,"positive","no_conflict",-1.47068470761772,3.05076631123304,0.573
2,1,1003,"negative_highly_familiar","conflict",-1.42257819849003,3.00130093302042,1.124
2,1,762,"positive","no_conflict",-1.37447168936235,2.8819549713396,1.003
2,1,625,"negative_familiar","conflict",-1.32636518023467,2.79588001734408,0.762
2,1,696,"positive","no_conflict",-1.27825867110699,2.84260923961056,0.625
2,1,903,"positive","no_conflict",-1.2301521619793,2.95568775031351,0.696
2,1,767,"negative_rc","conflict",-1.18204565285162,2.88479536394898,0.903
2,1,630,"negative_familiar","conflict",-1.13393914372394,2.79934054945358,0.767
2,1,813,"positive","no_conflict",-1.08583263459626,2.91009054559407,0.63
2,1,796,"positive","no_conflict",-1.03772612546857,2.90091306773767,0.813
2,1,1019,"negative_rc","conflict",-0.989619616340893,3.00817418400643,0.796
2,1,675,"negative_highly_familiar","conflict",-0.94151310721321,2.82930377283102,1.019
2,1,785,"positive","no_conflict",-0.893406598085528,2.89486965674525,0.675
2,1,1009,"positive","no_conflict",-0.845300088957846,3.00389116623691,0.785
2,1,809,"negative_unfamiliar","no_conflict",-0.797193579830163,2.90794852161227,1.009
2,1,952,"positive","no_conflict",-0.749087070702481,2.97863694838447,0.809
2,0,1390,"negative_highly_familiar","conflict",-0.700980561574799,3.14301480025409,0.952
2,1,678,"positive","no_conflict",-0.652874052447117,2.83122969386706,1.39
2,1,973,"negative_familiar","conflict",-0.604767543319434,2.98811284026835,0.678
2,1,740,"negative_unfamiliar","no_conflict",-0.556661034191752,2.86923171973098,0.973
2,1,715,"positive","no_conflict",-0.50855452506407,2.85430604180108,0.74
2,1,915,"negative_highly_familiar","conflict",-0.460448015936387,2.96142109406645,0.715
2,1,1514,"positive","no_conflict",-0.412341506808705,3.18012587516405,0.915
2,1,993,"negative_familiar","conflict",-0.364234997681023,2.99694924849538,1.514
2,1,712,"positive","no_conflict",-0.316128488553341,2.85247999363686,0.993
2,1,1055,"positive","no_conflict",-0.268021979425658,3.02325245963371,0.712
2,1,734,"negative_rc","conflict",-0.219915470297976,2.86569605991607,1.055
2,1,1077,"positive","no_conflict",-0.171808961170294,3.03221570329798,0.734
2,1,996,"negative_highly_familiar","conflict",-0.123702452042611,2.9982593384237,1.077
2,0,900,"positive","no_conflict",-0.0755959429149292,2.95424250943932,0.996
2,1,803,"negative_unfamiliar","no_conflict",-0.0274894337872469,2.90471554527868,0.9
2,1,1002,"positive","no_conflict",0.0206170753404354,3.00086772153123,0.803
2,1,889,"negative_unfamiliar","no_conflict",0.0687235844681176,2.94890176097021,1.002
2,1,752,"positive","no_conflict",0.1168300935958,2.87621784059164,0.889
2,1,783,"negative_rc","conflict",0.164936602723482,2.89376176205794,0.752
2,1,702,"negative_highly_familiar","conflict",0.213043111851164,2.84633711212981,0.783
2,1,766,"positive","no_conflict",0.261149620978847,2.8842287696326,0.702
2,1,765,"positive","no_conflict",0.309256130106529,2.88366143515362,0.766
