"subj_idx","response","rt","stim","block","block_number","trial_z","rt_inv_trim_grp","run_trial","run_trial_z","prev_rt","prev_rt_inv"
1,1,537,"congruent","most_con",1,-1.72121064913839,-1.86219739292365,1,-1.66802789939819,NA,NA
1,1,599,"incongruent","most_con",1,-1.69956020072156,-1.669449081803,2,-1.58248800712136,0.537,-1.86219739292365
1,1,397,"congruent","most_con",1,-1.67790975230472,-2.51889168765743,3,-1.49694811484453,0.599,-1.669449081803
1,1,450,"congruent","most_con",1,-1.65625930388789,-2.22222222222222,4,-1.4114082225677,0.397,-2.51889168765743
1,1,376,"incongruent","most_con",1,-1.63460885547105,-2.65957446808511,5,-1.32586833029087,0.45,-2.22222222222222
1,1,413,"congruent","most_con",1,-1.61295840705422,-2.42130750605327,6,-1.24032843801404,0.376,-2.65957446808511
1,1,403,"congruent","most_con",1,-1.59130795863738,-2.48138957816377,7,-1.15478854573721,0.413,-2.42130750605327
1,1,377,"congruent","most_con",1,-1.56965751022055,-2.6525198938992,8,-1.06924865346038,0.403,-2.48138957816377
1,1,439,"incongruent","most_con",1,-1.54800706180371,-2.27790432801822,9,-0.983708761183547,0.377,-2.6525198938992
1,1,445,"incongruent","most_con",1,-1.52635661338688,-2.24719101123596,10,-0.898168868906717,0.439,-2.27790432801822
1,1,393,"incongruent","most_con",1,-1.50470616497004,-2.54452926208651,11,-0.812628976629887,0.445,-2.24719101123596
1,1,439,"incongruent","most_con",1,-1.48305571655321,-2.27790432801822,12,-0.727089084353056,0.393,-2.54452926208651
1,1,469,"incongruent","most_con",1,-1.46140526813637,-2.13219616204691,13,-0.641549192076226,0.439,-2.27790432801822
1,1,395,"congruent","most_con",1,-1.43975481971953,-2.53164556962025,14,-0.556009299799396,0.469,-2.13219616204691
1,1,441,"congruent","most_con",1,-1.4181043713027,-2.26757369614512,15,-0.470469407522566,0.395,-2.53164556962025
1,1,359,"congruent","most_con",1,-1.39645392288586,-2.78551532033426,16,-0.384929515245736,0.441,-2.26757369614512
1,1,500,"incongruent","most_con",1,-1.37480347446903,-2,17,-0.299389622968906,0.359,-2.78551532033426
1,1,545,"congruent","most_con",1,-1.35315302605219,-1.8348623853211,18,-0.213849730692075,0.5,-2
1,1,623,"congruent","most_con",1,-1.33150257763536,-1.60513643659711,19,-0.128309838415245,0.545,-1.8348623853211
1,1,461,"congruent","most_con",1,-1.30985212921852,-2.16919739696312,20,-0.0427699461384151,0.623,-1.60513643659711
