,T_Propriety,T_RareVirtues,T_Deviance,T_BackDeviance,T_NegativeTemperament,T_Detachment,T_SelfHarm,T_Manipulativeness,T_Aggression,T_Dependency,T_LowSelfEsteem,T_Mistrust,T_Entitlement,T_EccentricPerceptions,T_PositiveTemperament,T_Exhibitionism,T_Disinhibition,T_Impulsivity,T_Workaholism,T_SuicideProneness,MPS_alT,MPS_agT,MPS_srT,MPS_wbT,MPS_spT,MPS_acT,MPS_scT,MPS_clT,MPS_haT,MPS_tdT,MPS_abT,MPS_PET,MPS_NET,MPS_COT,MPS_PGT,MPS_PCT,MPS_NGT,MPS_NLT,MPS_uvT,ATQ_ECTotal,ATQ_InhibControl,ATQ_AttControl,ATQ_AttShifting,ATQ_ActControl,zk10,zstai
MPS_alT,0.030502951,-0.3079316942,0.3567817683,0.4260391746,0.5259110117,0.3517944778,0.2958000382,0.4147789187,0.4464821985,0.1272851729,0.2428406453,0.7467894997,0.1899864533,0.4181059335,-0.0250108249,0.1543755525,0.3541641002,0.1534627346,0.242772135,0.285829269,1,0.4820071637,0.528052535,-0.0230162999,0.1047214213,0.0350218186,-0.377012326,-0.0232016806,0.1080946083,-0.0252790466,0.2730529186,0.0175847617,0.8261995783,-0.0233585703,0.0667699094,-0.2061764234,0.4695817963,0.9301421329,-0.1176079838,-0.1650408983,-0.2120815442,-0.0942481062,-0.0901613551,-0.1313963135,0.4718398531,0.2598180715
MPS_agT,-0.1454505109,-0.2688705191,0.4198761649,0.5083057481,0.299054019,0.1616110884,0.3304392046,0.6348910916,0.7544238501,-0.0253700542,0.26761396,0.4184567122,0.0944241147,0.4206001122,-0.0193116981,0.2576896836,0.6034059624,0.3556196816,-0.0192181641,0.323390736,0.4820071637,1,0.3200567185,-0.0743131233,0.3017901202,-0.0801884387,-0.2334649618,-0.2120493015,0.1713397694,-0.1490971397,0.234586022,0.049746446,0.7558342602,-0.1069724897,0.0199129986,-0.0386151728,0.933498413,0.3869646591,-0.1476615673,-0.1460563366,-0.2371384806,0.0142645233,0.0084444993,-0.1693773725,0.3796366883,0.2805060311
MPS_srT,0.1208735221,-0.2042374602,0.3419564951,0.4315144337,0.8830442866,0.2999659664,0.4803108607,0.3449099717,0.2784648966,0.4745292959,0.3994201254,0.5583174817,0.1850028089,0.3743614366,-0.1466015942,0.0971428469,0.1925636021,0.0431606547,0.2870498601,0.458424577,0.528052535,0.3200567185,1,-0.2020368034,-0.0406817578,0.047327367,-0.3279665944,0.0351591179,-0.0581999931,-0.0286786374,0.3386457484,-0.1290695918,0.7553115838,0.0079540524,-0.038192858,-0.3129958871,0.5833477619,0.7407129733,-0.1663234848,-0.312083962,-0.289328719,-0.3687363253,-0.2370389909,-0.1548565186,0.681211579,0.5599410662
MPS_wbT,0.1442885755,-0.032272323,-0.3415007251,-0.0974373423,-0.2722051221,-0.3948911707,-0.3979431166,0.0350820021,-0.0546389869,-0.267222441,-0.4501731933,-0.1503240545,0.3164447843,0.1334221351,0.7674160691,0.361645601,0.017408874,0.0100450366,0.0476604746,-0.2467041022,-0.0230162999,-0.0743131233,-0.2020368034,1,0.3942700097,0.2158984715,0.2830473881,-0.1292894152,-0.0572455347,0.0965332229,0.2733374235,0.7321214904,-0.0444668071,-0.0579302061,0.5777958368,0.6562146562,-0.137001997,-0.0625901153,0.1168809409,0.1768121562,0.1123587474,0.1713344745,0.2801101092,0.1542823941,-0.227914607,-0.367323281
MPS_spT,-0.1714090977,-0.1398687211,-0.1351135289,0.0314156455,-0.0480607845,-0.3414553251,-0.1964976491,0.2455829818,0.2567991837,-0.2696198393,-0.2519425706,-0.0361312924,0.3661300678,0.212190156,0.4657210821,0.6501180417,0.313623022,0.2110461763,0.0623055555,-0.088717846,0.1047214213,0.3017901202,-0.0406817578,0.3942700097,1,0.1963099297,0.1865005091,-0.1284174511,0.2460596343,-0.1498604044,0.2688889286,0.7067985166,0.2117369958,-0.0499009695,0.5657012445,0.6117090427,0.2473062337,0.0411088054,-0.0652408758,0.1136403861,-0.0226630464,0.207468896,0.2012881623,0.0760281976,0.0224940471,-0.0877441266
MPS_acT,0.2655204598,0.2825493592,-0.1598709407,-0.2980826649,0.0502972371,-0.1116768817,-0.1525895387,-0.2172612606,-0.0995686881,-0.1800295169,-0.2036675858,0.0637005418,0.2433642607,0.0937840104,0.4719794285,0.0540276129,-0.4096557819,-0.3209330945,0.785235596,-0.0599387977,0.0350218186,-0.0801884387,0.047327367,0.2158984715,0.1963099297,1,0.0036546278,0.3822286182,0.0832538198,0.158003073,0.0956236013,0.5904447935,0.0506234727,0.399383821,0.8678228649,0.0268733501,-0.0433933166,0.0784281737,0.2554224237,0.5094820651,0.3229256174,0.3210091826,0.3928569071,0.5961161977,0.0348109103,-0.0526060811
MPS_scT,-0.2177743131,-0.0024582898,-0.3933629957,-0.3289774161,-0.2754729719,-0.7976529198,-0.3319244723,-0.2617511766,-0.2136159156,-0.0368690843,-0.2915115681,-0.5361945317,-0.014375094,-0.2024469515,0.3256801107,0.2306905106,-0.055175141,0.0816489943,-0.2892292862,-0.2995124172,-0.377012326,-0.2334649618,-0.3279665944,0.2830473881,0.1865005091,0.0036546278,1,-0.1478309896,0.1029634577,-0.1894592717,-0.0800498059,0.4876777972,-0.3231712719,-0.1465406985,0.1091377059,0.8095866204,-0.2688501298,-0.3556126148,0.0762089599,0.1796049075,0.1023744715,0.1833209232,0.1798097727,0.156287734,-0.3231041856,-0.2033857419
MPS_clT,0.4783288854,0.2074633031,-0.1199076079,-0.3407557858,0.0144567807,0.2206257467,-0.1948894741,-0.2067676634,-0.257362872,0.0719855842,-0.092660453,0.0522549781,0.1583258578,-0.1893633961,-0.0552142688,-0.335485623,-0.6170169125,-0.7797224493,0.3975536456,-0.2634812505,-0.0232016806,-0.2120493015,0.0351591179,-0.1292894152,-0.1284174511,0.3822286182,-0.1478309896,1,0.0895819845,0.3079425586,-0.1127673036,-0.0074423554,-0.0884851404,0.8134095723,0.2092224122,-0.2555408875,-0.1521945885,0.0261433002,0.2145090752,0.2089180878,0.255431179,0.0350320488,0.064910139,0.2485373977,-0.1117020865,-0.0657693894
MPS_haT,0.0729778385,0.0894859318,0.0049811724,-0.0377981154,0.0040439829,-0.0657113862,0.0442608958,0.0508274282,0.118082895,0.0196628597,0.0515105847,0.0195019626,0.0707600037,0.2073429438,0.0479492121,0.1940538372,0.0387134218,-0.0083439651,0.034159709,0.0258316369,0.1080946083,0.1713397694,-0.0581999931,-0.0572455347,0.2460596343,0.0832538198,0.1029634577,0.0895819845,1,-0.0081066532,-0.0539624774,0.1516158686,0.1044135398,0.4100173017,0.1028377624,0.1655259347,0.110554124,0.0462605791,0.0481486853,0.0960694522,-0.0519526391,0.0954013029,0.1328046939,0.1556472355,0.1078826922,0.0964550021
MPS_tdT,0.6445748919,0.399699798,-0.0609656281,-0.0722476476,0.0214362104,0.1371878187,0.013868047,-0.0693599143,-0.0995953032,0.0669628909,0.1179114446,0.0072597629,0.1922153791,-0.067304977,0.1845201795,-0.1601476953,-0.3214341545,-0.2938036899,0.3394755174,-0.1055042995,-0.0252790466,-0.1490971397,-0.0286786374,0.0965332229,-0.1498604044,0.158003073,-0.1894592717,0.3079425586,-0.0081066532,1,-0.1369390002,0.0023278619,-0.0969712475,0.6564288972,0.10184924,-0.1356457044,-0.137715901,-0.0225918523,0.3625898899,0.1083768638,0.1966492081,0.0269875144,0.0451026036,0.0793090624,0.0196174088,0.0295622706
