"Subject","C_I_B1MeanRT","C_I_B2MeanRT","I_I_B1MeanRT","I_I_B2MeanRT","C_C_B1MeanRT","C_C_B2MeanRT","I_C_B1MeanRT","I_C_B2MeanRT","C_I_MeanRT","C_C_MeanRT","I_C_MeanRT","I_I_MeanRT","C_MeanRT","I_MeanRT","C_I_Parcel1","C_I_Parcel2","I_I_Parcel1","I_I_Parcel2","C_C_Parcel1","C_C_Parcel2","I_C_Parcel1","I_C_Parcel2","totalError","C_I_Error","C_C_Error","I_C_Error","I_I_Error","I_Error","C_Error","C_flankerControl","I_flankerControl","flankerControl","I_Error_Resid","I_MeanRT_Resid","T_MeanGoRT_5","T_MeanGoRT_1","T_MeanGoRT_7","T_MeanGoRT_3","T_MeanGoRT","MeanGoRT_5","MeanGoRT_1","MeanGoRT_7","MeanGoRT_3","MeanGoRT","sumFalseAlarms_5","sumFalseAlarms_1","sumFalseAlarms_7","sumFalseAlarms_3","sumFalseAlarms","sumMisses_5","sumMisses_1","sumMisses_7","sumMisses_3","sumMisses","faresid","RP_Nfam0_RT","RP_Nfam1_RT","RP_Nfam1RI_RT","RP_Nfam2_RT","RP_Y_RT","RP_N_RT","RP_familiar_RT","RP_RT","RP_Nfam0_ACC","RP_Nfam1_ACC","RP_Nfam1RI_ACC","RP_Nfam2_ACC","RP_Y_ACC","RP_N_ACC","RP_ACC","RP_Nfam0_SUM","RP_Nfam1_SUM","RP_Nfam1RI_SUM","RP_Nfam2_SUM","RP_Y_SUM","RP_N_SUM","RP_familiar_SUM","RP_SUM","RP_Familiar_ACC","RP_Familiar_RTResid","MPS_wbR","MPS_spR","MPS_acR","MPS_scR","MPS_srR","MPS_alR","MPS_agR","MPS_clR","MPS_haR","MPS_tdR","MPS_abR","MPS_PER","MPS_NER","MPS_COR","MPS_PGR","MPS_PCR","MPS_NGR","MPS_NLR","MPS_uvR","MPS_vrR","MPS_trR","MPS_wbT","MPS_spT","MPS_acT","MPS_scT","MPS_srT","MPS_alT","MPS_agT","MPS_clT","MPS_haT","MPS_tdT","MPS_abT","MPS_PET","MPS_NET","MPS_COT","MPS_PGT","MPS_PCT","MPS_NGT","MPS_NLT","MPS_uvT","MPS_vrT","MPS_trT","MPS_inv","VRIN","TRIN","DRIN","RV","DEV","II","NEGTEMP","MISTRUST","MANIP","AGG","SELFHARM","ECCPERC","DEPEN","POSTEMP","EXHIB","ENTITL","DETACH","DISINH","IMPUL","PROPER","HDWK","DISINHP","LOSLFEST","SUICPRON","BACKDEV","Z_VRIN","Z_TRIN","Z_DRIN","Z_RareVirtues","Z_Deviance","Z_InvalidityIndex","Z_BackDeviance","Z_NegativeTemperament","Z_Mistrust","Z_Manipulativeness","Z_Aggression","Z_SelfHarm","Z_EccentricPerceptions","Z_Dependency","Z_PositiveTemperament","Z_Exhibitionism","Z_Entitlement","Z_Detachment","Z_Disinhibition","Z_Impulsivity","Z_Propriety","Z_Workaholism","Z_LowSelfEsteem","Z_SuicideProneness","T_VRIN","T_TRIN","T_DRIN","T_RareVirtues","T_Deviance","T_InvalidityIndex","T_BackDeviance","T_NegativeTemperament","T_Mistrust","T_Manipulativeness","T_Aggression","T_SelfHarm","T_EccentricPerceptions","T_Dependency","T_PositiveTemperament","T_Exhibitionism","T_Entitlement","T_Detachment","T_Disinhibition","T_Impulsivity","T_Propriety","T_Workaholism","T_LowSelfEsteem","T_SuicideProneness","k10Total","Time_Submitted","ATQ_ActControl","ATQ_AttControl","ATQ_AttFocusing","ATQ_AttShifting","ATQ_AttPunishment","ATQ_AttReward","ATQ_InhibControl","ATQ_ECTotal","staitotal","invalid","zk10","zstai","zcurrsx","anger_hits","fear_hits","happy_hits","neutral_hits","anger_alarms","fear_alarms","happy_alarms","neutral_alarms","angfear_hits","angfear_FAs","fearang_hits","fearang_FAs","anger_pctinac","fear_pctinac","happy_pctinac","neutral_pctinac","total_pctinac","madeup","forgetList","forget_total","forget_postotal","forget_negtotal","forget_neutotal","forget_posAtotal","forget_negAtotal","forget_neuAtotal","forget_posNAtotal","forget_negNAtotal","forget_neuNAtotal","control_total","control_postotal","control_negtotal","control_neutotal","control_posAtotal","control_negAtotal","control_neuAtotal","control_posNAtotal","control_negNAtotal","control_neuNAtotal","forget_negtotal_resid","forget_postotal_resid","df_fn_c_neg","df_fn_c_neu","df_fn_c_pos","df_fn_c_sum","df_fn_f_neg","df_fn_f_neu","df_fn_f_pos","df_fn_f_sum","df_fn_sum","df_fp_neg","df_fp_neu","df_fp_pos","df_fp_sum","AngSad_I_Sad_Inac","AngSad_I_Sad_Acc","AngSad_C_Sad_Inac","AngSad_C_Sad_Acc","AngSad_I_Ang_Inac","AngSad_I_Ang_Acc","AngSad_C_Ang_Inac","AngSad_C_Ang_Acc","HapNeu_I_Hap_Inac","HapNeu_I_Hap_Acc","HapNeu_C_Hap_Inac","HapNeu_C_Hap_Acc","HapNeu_I_Neu_Inac","HapNeu_I_Neu_Acc","HapNeu_C_Neu_Inac","HapNeu_C_Neu_Acc","SadNeu_I_Sad_Inac","SadNeu_I_Sad_Acc","SadNeu_C_Sad_Inac","SadNeu_C_Sad_Acc","SadNeu_I_Neu_Inac","SadNeu_I_Neu_Acc","SadNeu_C_Neu_Inac","SadNeu_C_Neu_Acc","SadHap_I_Sad_Inac","SadHap_I_Sad_Acc","SadHap_C_Sad_Inac","SadHap_C_Sad_Acc","SadHap_I_Hap_Inac","SadHap_I_Hap_Acc","SadHap_C_Hap_Inac","SadHap_C_Hap_Acc","AngNeu_I_Ang_Acc","AngNeu_C_Ang_Acc","AngNeu_I_Neu_Acc","AngNeu_C_Neu_Acc","AngHap_I_Ang_Acc","AngHap_C_Ang_Acc","AngHap_I_Hap_Acc","AngHap_C_Hap_Acc","AngNeu_I_Ang_Inac","AngNeu_C_Ang_Inac","AngNeu_I_Neu_Inac","AngNeu_C_Neu_Inac","AngHap_I_Ang_Inac","AngHap_C_Ang_Inac","AngHap_I_Hap_Inac","AngHap_C_Hap_Inac","AngSad_I_Sad_PctInaccurate","AngSad_C_Sad_PctInaccurate","AngSad_I_Ang_PctInaccurate","AngSad_C_Ang_PctInaccurate","AngSad_C_PctInaccurate","AngSad_I_PctInaccurate","AngSad_Sad_PctInaccurate","AngSad_Ang_PctInaccurate","AngSad_PctInaccurate","HapNeu_I_Neu_PctInaccurate","HapNeu_C_Neu_PctInaccurate","HapNeu_I_Hap_PctInaccurate","HapNeu_C_Hap_PctInaccurate","HapNeu_C_PctInaccurate","HapNeu_I_PctInaccurate","HapNeu_Neu_PctInaccurate","HapNeu_Hap_PctInaccurate","HapNeu_PctInaccurate","SadNeu_I_Neu_PctInaccurate","SadNeu_C_Neu_PctInaccurate","SadNeu_I_Sad_PctInaccurate","SadNeu_C_Sad_PctInaccurate","SadNeu_C_PctInaccurate","SadNeu_I_PctInaccurate","SadNeu_Neu_PctInaccurate","SadNeu_Sad_PctInaccurate","SadNeu_PctInaccurate","SadHap_I_Hap_PctInaccurate","SadHap_C_Hap_PctInaccurate","SadHap_I_Sad_PctInaccurate","SadHap_C_Sad_PctInaccurate","SadHap_C_PctInaccurate","SadHap_I_PctInaccurate","SadHap_Hap_PctInaccurate","SadHap_Sad_PctInaccurate","SadHap_PctInaccurate","AngNeu_I_Neu_PctInaccurate","AngNeu_C_Neu_PctInaccurate","AngNeu_I_Ang_PctInaccurate","AngNeu_C_Ang_PctInaccurate","AngNeu_C_PctInaccurate","AngNeu_I_PctInaccurate","AngNeu_Neu_PctInaccurate","AngNeu_Ang_PctInaccurate","AngNeu_PctInaccurate","AngHap_I_Hap_PctInaccurate","AngHap_C_Hap_PctInaccurate","AngHap_I_Ang_PctInaccurate","AngHap_C_Ang_PctInaccurate","AngHap_C_PctInaccurate","AngHap_I_PctInaccurate","AngHap_Hap_PctInaccurate","AngHap_Ang_PctInaccurate","AngHap_PctInaccurate","Ang_PctInaccurate","Ang_I_PctInaccurate","Ang_C_PctInaccurate","Hap_PctInaccurate","Hap_I_PctInaccurate","Hap_C_PctInaccurate","Neu_PctInaccurate","Neu_I_PctInaccurate","Neu_C_PctInaccurate","Sad_PctInaccurate","Sad_I_PctInaccurate","Sad_C_PctInaccurate","PctInaccurate","I_PctInaccurate","C_PctInaccurate","sadresid","angresid","hapresid","neuresid","X_NAME_","C_AngHap_Ang","C_AngHap_Hap","C_AngNeu_Ang","C_AngNeu_Neu","C_AngSad_Ang","C_AngSad_Sad","C_HapNeu_Hap","C_HapNeu_Neu","C_SadHap_Hap","C_SadHap_Sad","C_SadNeu_Neu","C_SadNeu_Sad","I_AngHap_Ang","I_AngHap_Hap","I_AngNeu_Ang","I_AngNeu_Neu","I_AngSad_Ang","I_AngSad_Sad","I_HapNeu_Hap","I_HapNeu_Neu","I_SadHap_Hap","I_SadHap_Sad","I_SadNeu_Neu","I_SadNeu_Sad","AngHap_Ang_Diff","AngHap_Hap_Diff","AngNeu_Ang_Diff","AngNeu_Neu_Diff","AngSad_Sad_Diff","AngSad_Ang_Diff","HapNeu_Hap_Diff","HapNeu_Neu_Diff","SadHap_Sad_Diff","SadHap_Hap_Diff","SadNeu_Sad_Diff","SadNeu_Neu_Diff","I_Ang","C_Ang","I_Sad","C_Sad"
"1",1,433.96097054921,413.562130710592,429.366028689666,422.924638507527,416.503299886156,419.259647908411,410.343758988768,395.015425272732,423.51606312275,417.876928676393,402.200892173488,426.179555221655,413.188341021838,425.366856971657,0,0,0,1,0,0,1,0,2,0,0,1,1,1,1,5.63913444635716,23.9786630481663,12.1785159498189,-0.58739907041284,-4.65680722039896,372.255478349912,397.140258076921,402.619990661371,434.829370106101,401.711274298576,372.255478349912,397.140258076921,402.619990661371,434.829370106101,401.711274298576,3,3,2,2,10,1,0,0,0,1,0.211165048543689,1007.62238016269,1184.28636342247,1063.72093484636,1032.0989537729,1015.06079247091,1071.93215805111,1108.19265859769,1043.49647526101,0.888888888888889,1,0.777777777777778,1,0.833333333333333,0.916666666666667,0.875,1,0,2,0,6,3,0,9,1,72.1895669671891,10,2,11,9,3,1,0,11,5,9,4,74,22,84,69,62,29,31,3,2,10,53,45,62,52,44,52,38,59,38,51,46,54,41,48,58,49,36,50,50,47,38,0,4,18,19,7,1,16,10,8,1,0,0,3,3,24,2,4,4,3,1,18,10,3,0,0,1,-0.545454545454546,0.307692307692308,0,1.625,-0.714285714285714,-0.0399999999999999,-0.238095238095238,-0.0555555555555556,0.829268292682927,-0.9375,-0.942857142857143,-0.730769230769231,-0.25,-0.32258064516129,0.946428571428572,-1.27027027027027,-1.14705882352941,-0.365853658536585,-1.03448275862069,-1.15384615384615,1.39130434782609,0.702702702702703,-0.533333333333333,-0.666666666666667,44.5454545454545,53.0769230769231,50,66.25,42.8571428571429,49.6,47.6190476190476,49.4444444444444,58.2926829268293,40.625,40.5714285714286,42.6923076923077,47.5,46.7741935483871,59.4642857142857,37.2972972972973,38.5294117647059,46.3414634146341,39.6551724137931,38.4615384615385,63.9130434782609,57.027027027027,44.6666666666667,43.3333333333333,15,17570.4230902778,69,63,18,18,14,13,53,185,36,0,-0.897518795737292,-0.0156093210270565,-0.456564058382175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1,4,2,2,0,1,0,0,1,2,0,8,4,3,1,2,3,1,2,0,0,-0.00490665390138831,0.251177394034537,4,2,3,9,2,3,3,8,17,1,1,0,2,2,10,2,10,2,10,2,10,1,11,0,12,0,12,0,12,0,12,1,11,0,12,0,12,1,11,1,11,0,12,1,11,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0.166666666666667,0,0,0.0833333333333333,0,0,0.0416666666666667,0,0.0416666666666667,0.0208333333333333,0,0,0,0.0833333333333333,0.0416666666666667,0,0,0.0416666666666667,0.0208333333333333,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0833333333333333,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0555555555555556,0.0555555555555556,0.0555555555555556,0.0277777777777778,0.0277777777777778,0.0277777777777778,0,0,0,0.0972222222222222,0.0833333333333333,0.111111111111111,0.0451388888888889,0.0416666666666667,0.0486111111111111,-0.0260234842982436,-0.0298583334855322,-0.018824602029287,-0.0309780479254309,"harmean",663.795509559806,767.517570124084,765.960738446723,782.86115275398,872.62586459754,709.896200252794,655.663233066561,672.408012092045,747.973799397502,796.053411337903,634.331132541981,668.564257811598,761.686050623946,759.164616445961,765.897328449163,803.954970780849,788.384624321123,907.252571329951,665.41979793657,644.401784490479,771.008611254914,914.212014925089,622.445937106589,632.799007042387,97.8905410641402,-8.35295367812273,-0.0634099975599156,21.0938180268693,197.356371077157,-84.241240276417,9.75656487000867,-28.0062276015667,118.158603587187,118.158603587187,-35.7652507692108,-11.8851954353921,771.989334464744,767.460704201357,818.087864432476,724.837956467431
"2",3,410.747596611882,353.757519257263,386.967316063733,376.794306113755,374.148820632842,319.399174605429,370.607998058223,348.400643967127,380.12839365531,345.108324228052,359.161372022286,381.813060806171,349.259907819854,381.279449718615,0,0,2,2,0,1,0,0,5,0,1,0,4,4,1,35.0200694272575,22.651688783885,32.0195418987606,0.650403718348639,14.2498999655279,321.549765875101,308.891211661343,325.778415111891,325.302517227277,320.380477468903,323.875653891836,323.975705173431,325.778415111891,329.283543240435,325.728329354398,2,5,5,1,13,0,0,0,0,0,2.27730582524272,538.384242232429,556.488020480913,595.370551530349,571.11562292055,512.7434869749,565.33960929106,563.801821700731,539.04154813298,1,1,0.888888888888889,0.888888888888889,0.888888888888889,0.944444444444444,0.916666666666667,0,0,1,1,4,2,1,6,0.944444444444444,-53.8142014259445,9,2,4,11,4,2,4,10,4,5,8,65,37,69,45,70,50,35,2,5,9,49,45,42,60,47,56,57,54,36,40,57,48,53,40,43,54,54,53,46,65,31,0,7,23,17,1,1,12,10,7,8,2,2,8,4,17,3,10,5,12,5,8,4,5,2,0,0,0.818181818181818,2.23076923076923,-1,-0.875,-0.714285714285714,-0.84,-0.714285714285714,-0.0555555555555556,0.585365853658537,1.25,-0.371428571428571,0.0384615384615385,1.3125,0,-0.303571428571428,-1,0.617647058823529,-0.121951219512195,0.517241379310345,-0.128205128205128,-0.782608695652174,-0.918918918918919,0.8,-0.666666666666667,58.1818181818182,72.3076923076923,40,41.25,42.8571428571429,41.6,42.8571428571429,49.4444444444444,55.8536585365854,62.5,46.2857142857143,50.3846153846154,63.125,50,46.9642857142857,40,56.1764705882353,48.780487804878,55.1724137931035,48.7179487179487,42.1739130434783,40.8108108108108,58,43.3333333333333,22,17573.3830902778,53,49,12,17,8,12,45,147,49,0,0.368047275949825,1.16987753381727,0.768962404883547,14,11,9,10,10,13,3,2,5,7,4,8,0.416666666666667,0.541666666666667,0.25,0.166666666666667,0.388888888888889,0,1,4,1,1,2,1,1,1,0,0,1,11,3,4,4,2,1,2,1,3,2,-1.13983963618956,-0.726648351648352,2,2,3,7,1,2,4,7,14,1,1,2,4,2,10,0,12,2,10,2,10,0,12,0,12,1,11,0,12,3,9,1,11,0,12,2,10,2,10,0,12,2,10,1,11,11,12,11,11,12,10,12,10,1,0,1,1,0,2,0,2,0.166666666666667,0,0.166666666666667,0.166666666666667,0.0833333333333333,0.166666666666667,0.0833333333333333,0.166666666666667,0.125,0.0833333333333333,0,0,0,0,0.0416666666666667,0.0416666666666667,0,0.0208333333333333,0,0.166666666666667,0.25,0.0833333333333333,0.125,0.125,0.0833333333333333,0.166666666666667,0.125,0.166666666666667,0.0833333333333333,0.166666666666667,0,0.0416666666666667,0.166666666666667,0.125,0.0833333333333333,0.104166666666667,0.0833333333333333,0.0833333333333333,0.0833333333333333,0,0.0416666666666667,0.0833333333333333,0.0833333333333333,0.0416666666666667,0.0625,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0972222222222222,0.0833333333333333,0.111111111111111,0.0694444444444444,0.0555555555555556,0.0833333333333333,0.0694444444444444,0.0555555555555556,0.0833333333333333,0.111111111111111,0.194444444444444,0.0277777777777778,0.0868055555555556,0.0972222222222222,0.0763888888888889,0.150636895417945,-0.0409832946748733,-0.0362489885260634,-0.0296672647034563,"harmean",476.133835044346,511.764535506147,512.784061400892,472.66063593665,586.481994120289,532.819784019416,538.308394194168,517.436788929471,486.078198588316,478.684995952604,469.882497329472,508.161649427272,441.819489011366,503.697569041977,483.926442892901,492.997150580874,704.902615204587,543.001768452921,516.654236544428,507.766524741838,491.355272554014,483.5842955763,509.22536015545,442.635611495994,-34.3143460329798,-8.06696646417021,-28.8576185079912,20.3365146442238,10.1819844335045,118.420621084298,-21.6541576497401,-9.67026418763299,4.89929962369581,4.89929962369581,-65.5260379312777,39.3428628259783,543.549515702951,525.133296855176,489.740558508405,506.555476466431
"3",4,319.54443042913,289.555113800691,305.298081652755,302.43188444203,316.040372598369,288.323685420909,312.069122973235,306.577633669741,304.463259183381,301.546472727048,309.299005402333,303.858224217888,303.831116991436,304.038696934188,0,1,1,1,0,0,0,0,3,1,0,0,2,3,0,2.91678645633289,-5.44078118444497,0.207579942752716,0.605168195822949,-18.2260071167114,330.956595986864,303.426516629298,323.843424250597,309.373318831058,316.899963924454,330.956595986864,303.426516629298,325.161260612013,312.042055625795,317.896607213493,1,1,0,3,5,0,0,0,0,0,-1.72269417475728,635.751680691177,683.598635743879,671.343474049405,647.193316442919,600.2269962379,659.471776731845,665.395976093399,629.849386484872,1,1,1,1,0.916666666666667,1,0.958333333333333,0,0,0,0,3,0,0,3,1,-39.0358317096195,5,8,3,9,7,3,6,11,5,4,11,62,50,73,43,66,66,42,2,1,9,38,57,39,52,53,59,63,59,38,37,66,46,61,42,41,52,62,57,46,40,31,0,5,16,21,1,3,17,13,6,8,4,1,11,6,12,11,10,6,14,2,6,3,5,1,0,2,-0.090909090909091,-0.461538461538461,1,-0.875,0.238095238095238,0.16,0.238095238095238,0.361111111111111,0.341463414634146,1.25,0.2,-0.346153846153846,2.25,0.645161290322581,-1.19642857142857,1.16216216216216,0.617647058823529,0.121951219512195,0.862068965517241,-0.897435897435897,-1.21739130434783,-1.18918918918919,0.133333333333333,-0.666666666666667,49.0909090909091,45.3846153846154,60,41.25,52.3809523809524,51.6,52.3809523809524,53.6111111111111,53.4146341463415,62.5,52,46.5384615384615,72.5,56.4516129032258,38.0357142857143,61.6216216216216,56.1764705882353,51.219512195122,58.6206896551724,41.025641025641,37.8260869565217,38.1081081081081,51.3333333333333,43.3333333333333,21,17573.4848611111,53,70,15,20,18,17,58,181,25,0,0.187252122851665,-1.01871358281841,-0.415730729983372,23,34,NA,10,1,2,NA,2,11,1,10,2,0.0416666666666667,0.0555555555555556,NA,0.166666666666667,0.0694444444444444,1,2,4,0,3,1,0,2,0,0,1,1,6,1,2,3,0,1,0,1,1,3,1.13002632838679,-1.68229984301413,0,0,0,0,1,1,1,3,3,5,3,4,12,0,12,2,10,0,12,0,12,0,12,1,11,0,12,0,12,0,12,0,12,0,12,0,12,1,11,0,12,0,12,0,12,11,12,12,12,12,10,12,12,1,0,0,0,0,2,0,0,0,0.166666666666667,0,0,0.0833333333333333,0,0.0833333333333333,0,0.0416666666666667,0,0,0,0.0833333333333333,0.0416666666666667,0,0,0.0416666666666667,0.0208333333333333,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,0,0,0.0416666666666667,0,0.0416666666666667,0.0208333333333333,0,0,0.0833333333333333,0,0,0.0416666666666667,0,0.0416666666666667,0.0208333333333333,0,0,0,0.166666666666667,0.0833333333333333,0,0,0.0833333333333333,0.0416666666666667,0.0416666666666667,0.0277777777777778,0.0555555555555556,0.0138888888888889,0,0.0277777777777778,0,0,0,0.0416666666666667,0.0277777777777778,0.0555555555555556,0.0243055555555556,0.0138888888888889,0.0347222222222222,-0.0378795274504139,-0.0576361112633099,-0.0466023798070648,-0.0309780479254309,"harmean",597.250698764476,499.416791279035,808.002809612824,733.114538686607,588.861822937381,608.643464244814,713.993018281379,672.511870778519,513.672285955723,491.444572903688,554.253592295318,579.140711964696,565.625771789724,529.208915795586,704.863862854099,777.428457871973,568.34119213597,633.807787896963,765.634109871582,680.510868738257,531.803610846661,566.190502638593,627.867359575166,575.75624482264,-31.6249269747515,29.7921245165516,-103.138946758725,44.3139191853666,25.1643236521485,-20.5206308014111,51.6410915902027,7.99899795973784,74.7459297349057,74.7459297349057,-3.38446714205645,73.6137672798477,612.943608926598,664.705110438227,591.918178452732,559.742916371066
"4",5,376.605023784641,368.405107533527,365.929397425909,362.686069758989,363.498801732796,352.491298675452,352.534240523564,352.621845494416,372.459939677773,357.910436517783,352.578037567194,364.300514987555,356.293857387379,366.710557133262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5495031599895,11.7224774203608,10.4166997458832,-1,-7.25014049599132,325.907955423349,344.728052249824,331.351040993826,320.059385379702,330.511608511675,328.331547788463,344.728052249824,334.771793944107,324.201949008489,333.008335747721,1,1,1,0,3,0,0,0,0,0,-1.72269417475728,601.076706466258,637.74581633309,713.351669005013,672.875971990603,659.804493488955,656.262540948741,655.310894161846,658.033517218848,1,1,0.888888888888889,0.888888888888889,0.972222222222222,0.944444444444444,0.958333333333333,0,0,1,1,1,2,1,3,0.944444444444444,-18.2036465997505,11,6,3,11,3,0,1,10,2,8,2,73,22,70,50,79,35,25,1,2,9,57,53,39,60,44,43,46,54,29,48,39,53,41,40,46,61,43,43,41,47,31,0,5,17,16,4,2,15,8,0,3,0,0,0,5,20,4,3,1,5,1,13,3,2,0,0,2,-0.090909090909091,-0.0769230769230766,-1.5,0.375,-0.238095238095238,-0.24,0.238095238095238,-0.333333333333333,-1.1219512195122,-0.3125,-0.942857142857143,-0.730769230769231,-1.1875,0.32258064516129,0.232142857142857,-0.72972972972973,-1.44117647058824,-1.09756097560976,-0.689655172413793,-1.15384615384615,0.304347826086957,-1.18918918918919,-0.533333333333333,-0.666666666666667,49.0909090909091,49.2307692307692,35,53.75,47.6190476190476,47.6,52.3809523809524,46.6666666666667,38.780487804878,46.875,40.5714285714286,42.6923076923077,38.125,53.2258064516129,52.3214285714286,42.7027027027027,35.5882352941176,39.0243902439024,43.1034482758621,38.4615384615385,53.0434782608696,38.1081081081081,44.6666666666667,43.3333333333333,13,17573.6692708333,59,59,11,13,18,17,57,175,21,0,-1.25910910193361,-1.38347876892436,-1.32129393542898,14,20,NA,21,10,4,NA,3,5,7,NA,NA,0.416666666666667,0.166666666666667,NA,0.125,0.236111111111111,1,1,9,3,4,2,2,1,0,1,3,2,13,6,4,3,3,2,1,3,2,2,1.86016036381044,1.20682888540031,3,2,2,7,2,3,0,5,12,0,0,0,0,0,12,0,12,3,9,2,10,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,12,12,12,12,12,12,12,0,0,0,0,0,0,0,0,0,0,0.25,0.166666666666667,0.0833333333333333,0.125,0,0.208333333333333,0.104166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0694444444444444,0.0833333333333333,0.0555555555555556,0,0,0,0,0,0,0,0,0,0.0173611111111111,0.0208333333333333,0.0138888888888889,-0.0219577928248064,-0.00208055570775438,-0.0240012976697877,-0.0309780479254309,"harmean",623.212915612159,561.117683429393,630.881498387824,648.368696385451,643.760785461774,726.066517052708,517.562524215828,587.924640813837,570.957023563598,575.362263582175,569.310913514607,647.661724737434,569.417148987734,613.800698043204,623.571969026932,654.135693787271,666.305686774004,645.345596132154,499.554134188665,624.387495772522,583.502875444922,556.672415897074,631.843837931526,624.142577831817,-53.7957666244247,52.6830146138115,-7.30952936089216,5.76699740181971,-80.7209209205541,22.5449013122303,-18.008390027163,36.462854958686,-18.6898476851017,-18.6898476851017,-23.5191469056167,62.5329244169183,619.764934929557,632.618399820586,608.720196620348,649.696835124106
