"","id","task","beta_contrast","MAP","se","CI_low","CI_high","pd","parameter"
"1","1","flanker","intercept",0.939085312792076,0.00245349072255818,0.79029140926355,1.18128562862872,1,"a"
"2","10","flanker","intercept",0.823157124696537,0.00296040883385765,0.667279309084005,1.08675572408044,1,"a"
"3","101","flanker","intercept",0.903766729519548,0.00360703049449739,0.704173740595946,1.20699999324489,1,"a"
"4","102","flanker","intercept",0.888890049230985,0.00140859542214513,0.758637529627315,1.04777239617897,1,"a"
"5","103","flanker","intercept",1.0217513000273,0.0026114130130655,0.856248088965435,1.27251583971427,1,"a"
"6","104","flanker","intercept",0.60287815102128,0.000523204852759087,0.53316971322421,0.68863301390832,1,"a"
"7","105","flanker","intercept",0.821894277144779,0.00196713630898999,0.686484604638927,1.037604427483,1,"a"
"8","106","flanker","intercept",1.83638112873783,0.0110044084040823,1.41588704418742,2.41599382352441,1,"a"
"9","107","flanker","intercept",1.48425214876378,0.013945812742692,1.11180936726681,2.15299464860004,1,"a"
"10","108","flanker","intercept",0.856428115687476,0.00147269506606741,0.733554579981889,1.02820865736173,1,"a"
"11","109","flanker","intercept",0.858063666100259,0.00249944311048105,0.695544653437336,1.07925772077483,1,"a"
"12","11","flanker","intercept",1.74418590384517,0.0157693726425479,1.29270745700558,2.50111739051841,1,"a"
"13","110","flanker","intercept",0.911499980253865,0.000574980186864924,0.828974109411713,1.00465461336857,1,"a"
"14","111","flanker","intercept",2.10481847800807,0.0138073094985522,1.57841803182477,2.64147751568793,1,"a"
"15","112","flanker","intercept",0.976634894661349,0.00129867343634136,0.858908527488582,1.15602228392682,1,"a"
"16","113","flanker","intercept",0.926408004597376,0.00241626041723191,0.782482186081748,1.17381139976665,1,"a"
"17","114","flanker","intercept",1.49714971548915,0.0218128184956085,1.07462485116159,2.39240640187239,1,"a"
"18","12","flanker","intercept",0.590534648765862,0.00141931608801663,0.467773017334431,0.748744370089052,1,"a"
"19","13","flanker","intercept",0.954561369654584,0.00860581429669755,0.688413288714761,1.49477668133758,1,"a"
"20","14","flanker","intercept",0.99812567670261,0.000708979040043861,0.895036377731374,1.10554046127462,1,"a"
"21","15","flanker","intercept",2.48985948328821,0.0167413859341114,1.95568104328488,3.26417039229873,1,"a"
"22","16","flanker","intercept",0.933986486013046,0.00135004303722486,0.797495262478757,1.09381999772192,1,"a"
"23","17","flanker","intercept",0.758613268823349,0.00210397914710395,0.632401285477241,0.982230254477918,1,"a"
"24","18","flanker","intercept",0.868860514396213,0.000930806250878359,0.760464899614924,0.999528042980521,1,"a"
"25","19","flanker","intercept",0.999345917343401,0.00237022397482544,0.848357719209633,1.24182146513187,1,"a"
"26","2","flanker","intercept",0.846973548897593,0.00107167926241368,0.728110695911474,0.97734762783505,1,"a"
"27","20","flanker","intercept",1.17951727498195,0.00762495528828933,0.921667500784929,1.66787322969632,1,"a"
"28","21","flanker","intercept",1.12766199347975,0.00283727982050124,0.931279313847241,1.38576529147631,1,"a"
"29","22","flanker","intercept",0.613208311078247,0.00079415753261671,0.533485767165122,0.740316775689787,1,"a"
