    -1.024    -0.139    -0.074    -1.555     0.719    -0.233    -0.222     0.626    -1.492     0.924    -0.119    -0.127     0.233    -0.587     0.357   1
    -0.758     2.432     1.849    -0.264    -1.078    -1.231    -1.221     0.534    -2.310    -0.203     2.281     2.285     0.276     1.713     2.817   2
     0.573     0.094    -0.843    -1.430    -0.059    -0.404    -0.398     0.538    -1.482     0.609    -0.021     0.003     0.242    -0.561     0.412   3
     0.573     0.328    -0.074     0.518    -1.166    -0.371    -0.391     0.559    -1.409     0.739     0.271     0.273     0.234    -0.231     0.732   4
    -1.290    -0.841    -0.843    -0.672     0.537     0.073     0.085     0.553    -1.016     1.132    -0.802    -0.807     0.240    -1.283    -0.315   5
    -1.822    -0.841    -0.843    -1.181     0.625    -0.108    -0.082     0.610    -1.346     1.013    -0.797    -0.801     0.235    -1.263    -0.320   6
     1.372    -0.607    -0.459     0.835     0.712     0.912     0.904     0.500    -0.051     1.903    -0.597    -0.593     0.234    -1.080    -0.133   8
    -0.225    -0.841    -0.843     0.710     0.792     0.758     0.761     0.502    -0.247     1.755    -0.838    -0.833     0.237    -1.311    -0.352   9
    -0.491    -0.373    -0.074     0.178    -1.515    -0.620    -0.611     0.577    -1.726     0.500    -0.283    -0.301     0.240    -0.742     0.230  10
    -1.822    -0.373    -0.843    -1.680    -1.428    -1.316    -1.336     0.554    -2.376    -0.163    -0.364    -0.365     0.231    -0.844     0.086  11
     0.840    -0.841    -0.459     1.492     1.061     1.261     1.262     0.502     0.268     2.265    -0.805    -0.805     0.233    -1.270    -0.331  12
     0.307    -0.139    -0.843     0.801     0.363     0.521     0.520     0.497    -0.449     1.504    -0.251    -0.229     0.246    -0.810     0.193  13
     0.573     0.094    -0.074    -1.204     0.967     0.108     0.120     0.596    -1.125     1.188     0.065     0.066     0.231    -0.408     0.526  14
    -0.491    -0.607    -0.074    -0.116     0.974     0.487     0.492     0.526    -0.551     1.492    -0.525    -0.544     0.239    -0.968    -0.026  15
    -0.225    -0.607    -0.843    -1.306    -0.140    -0.340    -0.325     0.528    -1.394     0.642    -0.596    -0.593     0.235    -1.087    -0.144  16
    -0.491     2.432     3.003    -1.498    -2.010    -2.072    -2.065     0.523    -3.132    -1.037     2.477     2.472     0.294     1.950     3.112  17
     0.307     0.328     1.465     0.585    -0.321    -0.052    -0.060     0.524    -1.067     0.998     0.468     0.439     0.261     0.044     1.066  18
     0.307    -0.607    -0.459     1.333     0.545     0.847     0.834     0.510    -0.129     1.891    -0.599    -0.600     0.238    -1.086    -0.121  19
     1.372    -0.139    -0.843     0.110     0.465     0.463     0.455     0.505    -0.538     1.475    -0.249    -0.225     0.243    -0.789     0.198  20
    -1.290    -0.607    -1.228    -1.498     0.967    -0.023    -0.004     0.657    -1.383     1.167    -0.661    -0.647     0.244    -1.185    -0.192  21
    -0.491    -0.841    -0.843     0.801    -1.428    -0.257    -0.241     0.626    -1.476     0.952    -0.786    -0.793     0.233    -1.231    -0.310  22
    -0.758     2.899     2.619    -0.729     1.054    -0.530    -0.542     0.716    -1.936     0.896     2.740     2.745     0.287     2.158     3.282  24
     0.840     1.497     1.080    -1.997    -1.071    -1.360    -1.353     0.525    -2.384    -0.349     1.429     1.429     0.247     0.940     1.922  25
    -0.225    -0.373    -1.228     0.302    -0.467    -0.038    -0.039     0.517    -1.056     0.972    -0.469    -0.446     0.250    -1.023    -0.025  26
    -0.225    -1.074    -0.843     0.801     0.377     0.647     0.637     0.508    -0.348     1.655    -1.020    -1.028     0.237    -1.491    -0.534  27
     2.171     0.562     2.234    -0.049    -1.420    -0.598    -0.601     0.581    -1.682     0.559     0.784     0.736     0.307     0.318     1.515  28
     1.106    -0.841    -0.843     1.242     0.632     1.013     1.005     0.502     0.065     2.025    -0.846    -0.839     0.239    -1.350    -0.375  29
    -0.225     0.796     1.080     0.585     0.537     0.206     0.230     0.512    -0.852     1.153     0.790     0.782     0.240     0.326     1.308  30
