    -1.433    -0.111    -1.235    -1.082    -0.919    -1.149    -1.225    -1.221     0.451    -2.130    -0.349    -1.335    -1.338     0.561    -2.468    -0.252   1
     2.046     0.078     0.148    -0.817    -0.313     1.662     1.488     1.484     0.470     0.565     2.395     0.007    -0.004     0.594    -1.137     1.173   2
     0.440    -0.034     0.739    -0.371     0.946    -0.190     0.123     0.126     0.446    -0.769     0.992     0.370     0.357     0.572    -0.730     1.516   3
     0.440     0.043     1.174    -0.950     1.230     0.418     0.410     0.411     0.438    -0.473     1.251     0.447     0.443     0.630    -0.794     1.686   4
    -0.898    -1.197    -0.446    -0.901     1.230    -0.973    -1.056    -1.045     0.447    -1.959    -0.207    -0.253    -0.244     0.605    -1.414     0.972   5
    -1.433    -0.896     0.186    -0.503    -0.067    -0.845    -1.128    -1.123     0.448    -1.995    -0.254    -0.223    -0.223     0.571    -1.366     0.912   6
    -0.095    -0.972    -0.168    -0.768     0.218    -0.718    -0.605    -0.608     0.452    -1.507     0.284    -0.266    -0.264     0.570    -1.416     0.847   8
    -0.898    -0.707     0.857     1.381     1.552    -1.149    -0.816    -0.826     0.453    -1.686     0.090     1.124     1.132     0.568    -0.009     2.207   9
     1.511     0.568     1.688     0.474     1.638     1.662     1.613     1.612     0.448     0.736     2.506     1.448     1.448     0.599     0.306     2.624  10
    -1.433    -0.636    -0.603    -1.264    -1.166    -1.149    -1.323    -1.317     0.445    -2.235    -0.477    -1.141    -1.143     0.558    -2.257    -0.039  11
     0.708     1.058    -0.564     0.969    -0.635     0.624     0.797     0.796     0.440    -0.061     1.649    -0.002     0.008     0.597    -1.206     1.151  12
     1.511    -0.294    -0.289    -0.057     0.786     1.438     1.158     1.159     0.456     0.266     2.044     0.361     0.347     0.585    -0.756     1.534  13
    -1.701    -0.671    -1.749    -1.082    -1.289    -0.973    -1.409    -1.409     0.452    -2.306    -0.512    -1.546    -1.544     0.575    -2.694    -0.411  14
     0.440    -0.223    -1.235    -0.224    -0.104     1.055     0.502     0.508     0.452    -0.412     1.362    -0.427    -0.420     0.575    -1.559     0.724  15
    -1.433    -0.896    -0.603    -0.768    -0.635    -0.366    -0.993    -0.988     0.468    -1.939    -0.105    -0.729    -0.732     0.565    -1.854     0.370  16
     0.708     3.011    -1.551     0.390    -1.783    -0.317     0.682     0.669     0.497    -0.292     1.684    -1.219    -1.219     0.662    -2.556     0.059  17
     1.243     0.267     1.212     1.367    -0.437     1.407     1.287     1.279     0.458     0.403     2.204     1.114     1.131     0.581    -0.059     2.234  18
    -0.095    -0.034    -0.762    -0.140    -1.289    -0.287    -0.257    -0.259     0.435    -1.131     0.582    -0.679    -0.680     0.569    -1.812     0.434  19
     0.708    -1.197    -1.315    -0.901    -1.536     0.065    -0.138    -0.132     0.470    -1.069     0.775    -0.989    -0.996     0.581    -2.127     0.172  20
    -0.898     0.757     0.503     0.041    -0.313    -1.149    -0.647    -0.653     0.444    -1.504     0.262    -0.155    -0.148     0.574    -1.322     0.943  21
    -1.166     0.303     0.541    -0.454     0.341    -0.463    -0.553    -0.561     0.452    -1.442     0.329    -0.087    -0.090     0.575    -1.218     1.053  22
