     0.000     0.000     8.000     1.000     1.000    18.000    11.000     1.000     9.000    11.000    10.000    -1.167     0.347     1.414     0.404   1
     8.000    11.000     8.000     2.000    14.000    13.000    11.000     3.000     5.000     8.000     9.000     1.288     0.347     0.258     0.404   2
     4.000     2.000     7.000     2.000     8.000     8.000    10.000     5.000     5.000     4.000     4.000    -0.081     0.347    -0.432     0.404   3
     6.000     4.000     6.000     3.000     8.000     6.000    11.000     2.000     4.000     3.000     3.000     0.227     0.347    -0.496     0.404   4
     1.000     0.000     0.000     0.000     3.000    13.000    10.000     1.000     8.000     3.000     3.000    -1.345     0.347     0.056     0.404   5
     1.000     1.000     1.000     1.000     1.000    11.000    10.000     4.000     6.000     8.000     7.000    -1.118     0.347     0.117     0.404   6
     1.000     2.000     2.000     0.000     6.000    14.000    10.000     2.000     6.000     7.000     6.000    -0.908     0.347     0.262     0.404   8
     0.000     0.000     1.000     2.000     3.000     7.000     4.000    10.000     5.000     1.000     3.000    -0.906     0.347    -1.426     0.404   9
     8.000    11.000     9.000     4.000    12.000     5.000     9.000    10.000     2.000     2.000     1.000     1.549     0.347    -1.512     0.404  10
     0.000     0.000     5.000     0.000     1.000    16.000    12.000     1.000     7.000    11.000    12.000    -1.305     0.347     1.277     0.404  11
     5.000     7.000    10.000     6.000     9.000    14.000     7.000    11.000     8.000    10.000     9.000     0.988     0.347     0.114     0.404  12
     6.000    12.000     3.000     3.000    12.000    10.000     9.000     6.000     9.000     5.000     4.000     0.945     0.347    -0.480     0.404  13
     1.000     0.000     3.000     1.000     0.000    19.000    11.000     1.000    11.000    11.000    13.000    -1.288     0.347     1.630     0.404  14
     6.000     9.000     7.000     1.000     8.000    18.000     7.000     2.000     9.000     9.000     6.000     0.480     0.347     0.417     0.404  15
     3.000     2.000     1.000     1.000     1.000    16.000    10.000     2.000     7.000    10.000     9.000    -0.891     0.347     0.723     0.404  16
     4.000     1.000    19.000    11.000     9.000    19.000     8.000     8.000    10.000    11.000    17.000     1.046     0.347     1.776     0.404  17
