1	11	1	0	11	9	8	1	0	3	1	18	10
2	8	2	8	11	5	8	14	11	15	3	13	9
3	4	2	4	10	5	7	8	2	12	5	8	4
4	3	3	6	11	4	6	8	4	14	2	6	3
5	3	0	1	10	8	0	3	0	5	1	13	3
6	8	1	1	10	6	1	1	1	4	4	11	7
8	7	0	1	10	6	2	6	2	7	2	14	6
9	1	2	0	4	5	1	3	0	18	10	7	3
10	2	4	8	9	2	9	12	11	21	10	5	1
11	11	0	0	12	7	5	1	0	1	1	16	12
12	10	6	5	7	8	10	9	7	19	11	14	9
13	5	3	6	9	9	3	12	12	13	6	10	4
14	11	1	1	11	11	3	0	0	1	1	19	13
15	9	1	6	7	9	7	8	9	13	2	18	6
16	10	1	3	10	7	1	1	2	4	2	16	9
17	11	11	4	8	10	19	9	1	11	8	19	17
18	8	3	8	7	5	8	11	9	22	14	4	10
19	11	2	2	8	9	7	6	4	9	4	14	13
20	11	0	4	10	10	0	9	4	11	1	17	15
21	8	5	0	7	5	9	3	0	7	4	10	9
22	7	2	1	9	6	10	2	4	10	3	8	5
24	11	9	10	11	4	18	12	12	9	3	16	16
25	12	0	0	12	10	1	1	0	0	1	16	15
26	8	1	3	11	4	5	2	2	11	7	4	6
27	7	3	5	3	2	4	3	1	14	10	12	7
28	6	8	6	12	8	8	12	10	9	2	16	11
29	4	1	2	9	5	7	7	2	10	4	13	3
30	7	1	2	9	8	7	3	2	7	3	11	8
31	6	5	2	10	12	14	10	5	11	8	17	12
32	3	6	8	10	3	7	9	7	19	5	10	4
33	6	4	2	8	6	6	9	1	14	5	4	5
34	7	4	4	9	10	5	7	6	9	4	16	10
35	8	0	3	10	7	1	11	3	18	5	13	8
36	4	5	12	6	7	7	13	10	24	11	12	3
37	1	0	3	3	10	7	9	10	18	11	12	6
40	6	2	2	10	10	4	8	4	11	6	11	9
41	10	5	1	12	8	6	0	1	2	1	13	9
42	10	5	7	9	2	8	11	6	19	3	6	6
43	6	5	4	6	5	5	7	11	16	7	10	6
44	6	1	3	7	6	0	5	3	17	9	4	6
45	3	5	1	9	5	13	8	6	15	5	12	7
46	10	4	8	3	5	5	3	17	17	12	3	12
47	6	1	5	7	9	7	7	8	14	7	12	5
49	1	0	0	11	11	1	1	0	8	3	17	6
50	11	2	2	12	9	3	0	1	7	3	10	9
52	11	2	2	8	7	2	0	2	7	6	6	8
53	9	0	0	12	8	5	8	3	7	3	15	11
54	5	4	1	6	9	4	9	0	17	8	15	5
55	9	2	4	4	7	12	5	3	12	8	10	9
56	2	2	1	7	4	7	5	2	11	4	8	5
57	5	1	2	11	8	3	7	2	10	7	14	5
58	10	3	5	7	9	11	9	1	15	10	11	10
59	6	9	2	10	10	10	4	2	9	2	17	8
60	9	5	1	12	6	11	6	4	6	1	11	10
61	12	2	6	12	9	1	3	4	4	0	15	14
62	4	7	2	9	9	8	8	5	16	4	12	6
63	5	0	1	5	3	1	0	0	9	5	12	4
64	5	1	0	6	5	1	1	1	8	5	4	3
65	7	6	5	11	12	9	4	8	10	5	15	14
66	6	4	7	11	4	6	8	7	13	1	9	9
67	5	4	6	2	5	5	5	10	17	16	7	4
68	10	4	1	10	6	6	0	2	7	7	8	9
69	6	3	5	12	6	4	9	5	13	4	15	5
70	11	5	5	12	5	13	8	6	13	5	15	16
71	7	5	4	3	7	9	10	4	17	9	12	9
72	10	2	9	7	7	7	10	4	22	14	9	8
73	10	0	2	7	5	3	6	1	16	8	6	4
74	12	5	6	9	5	6	5	4	16	6	7	13
75	7	2	6	7	6	0	5	9	12	8	7	4
76	11	11	3	12	9	17	11	2	12	4	18	14
77	10	0	5	10	9	4	7	4	13	7	13	8
78	7	0	3	5	6	1	3	7	10	7	7	6
79	5	1	1	10	6	2	5	1	11	4	10	3
81	4	4	4	12	4	12	5	4	17	7	6	6
83	7	0	0	11	10	1	1	0	4	1	15	6
84	4	1	5	8	7	4	7	2	12	7	13	5
86	10	5	5	8	6	11	10	9	17	7	13	16
87	11	1	0	9	3	2	6	1	7	7	10	14
88	11	8	5	10	8	11	10	6	11	4	17	13
89	1	1	2	2	6	2	4	3	21	15	10	1
90	7	0	1	11	7	4	9	1	14	3	11	8
91	11	0	1	9	10	0	2	1	6	5	11	11
92	6	8	12	2	6	18	17	18	32	17	6	4
93	11	4	1	9	7	4	5	1	13	6	12	7
94	12	0	0	12	11	2	0	0	1	1	16	13
95	9	2	1	9	10	6	8	0	9	3	14	10
96	10	2	4	11	8	4	4	5	8	2	12	10
97	3	0	4	7	2	5	6	5	9	7	10	2
98	8	10	11	11	7	19	12	15	15	4	11	14
99	4	1	5	6	2	12	8	8	19	6	2	1
101	2	1	1	11	11	6	6	1	10	2	17	6
102	5	4	5	7	7	7	6	8	15	7	16	9
103	5	0	3	8	7	0	5	6	10	11	9	2
104	11	0	0	1	1	1	7	3	19	15	2	10
105	2	0	5	4	5	2	8	1	12	11	8	2
106	8	4	2	6	10	3	9	6	16	10	10	12
107	7	0	2	10	8	0	2	2	7	5	9	3
108	6	4	4	6	2	9	7	5	19	7	3	4
109	8	2	4	11	6	2	6	5	10	1	8	4
110	9	2	9	9	9	5	14	5	14	4	17	9
111	6	4	1	8	3	8	8	0	13	11	9	7
112	2	0	1	8	6	3	9	1	14	6	7	1
113	2	3	1	5	9	5	9	3	19	10	8	2
114	3	4	2	11	8	9	5	1	9	4	14	0
