    -1.522    -1.024    -0.139    -1.588    -0.074    -1.433    -0.111     1.235     1.082     0.919    -1.149    -1.445    -1.450     0.416    -2.251    -0.625    -0.074    -0.097     0.243    -0.540     0.454    -1.347    -1.334     0.429    -2.220    -0.527     1.224     1.225     0.530     0.175     2.264   1
    -0.525    -0.758     2.432    -0.003     1.849     2.046     0.078    -0.148     0.817     0.313     1.662    -0.474    -0.477     0.426    -1.309     0.363     2.226     2.232     0.271     1.678     2.763     1.683     1.685     0.435     0.848     2.541     0.512     0.528     0.554    -0.586     1.577   2
    -1.273     0.573     0.094    -1.588    -0.843     0.440    -0.034    -0.739     0.371    -0.946    -0.190    -0.942    -0.959     0.426    -1.758    -0.080     0.015     0.027     0.246    -0.530     0.505    -0.221    -0.212     0.452    -1.131     0.655    -0.191    -0.165     0.588    -1.373     0.884   3
     0.721     0.573     0.328     0.314    -0.074     0.440     0.043    -1.174     0.950    -1.230     0.418     0.494     0.492     0.398    -0.294     1.261     0.212     0.231     0.242    -0.310     0.673     0.484     0.483     0.408    -0.315     1.269    -0.045    -0.021     0.643    -1.342     1.120   4
    -1.023    -1.290    -0.841    -0.320    -0.843    -0.898    -1.197     0.446     0.901    -1.230    -0.973    -0.724    -0.727     0.413    -1.535     0.087    -0.782    -0.790     0.242    -1.265    -0.271    -1.291    -1.292     0.433    -2.140    -0.453     0.478     0.507     0.562    -0.705     1.548   5
    -0.774    -1.822    -0.841    -1.588    -0.843    -1.433    -0.896    -0.186     0.503     0.067    -0.845    -1.029    -1.018     0.421    -1.864    -0.222    -0.769    -0.781     0.244    -1.247    -0.267    -1.444    -1.444     0.419    -2.283    -0.647     0.292     0.310     0.541    -0.812     1.310   6
     0.721     1.372    -0.607     0.948    -0.459    -0.095    -0.972     0.168     0.768    -0.218    -0.718     0.721     0.718     0.406    -0.063     1.534    -0.622    -0.615     0.243    -1.151    -0.156    -0.394    -0.408     0.420    -1.215     0.432     0.416     0.431     0.535    -0.676     1.413   8
     0.472    -0.225    -0.841     0.948    -0.843    -0.898    -0.707    -0.857    -1.381    -1.552    -1.149     0.439     0.438     0.423    -0.396     1.259    -0.901    -0.880     0.256    -1.474    -0.429    -0.697    -0.693     0.427    -1.542     0.128    -1.214    -1.225     0.544    -2.281    -0.130   9
    -0.276    -0.491    -0.373     0.631    -0.074     1.511     0.568    -1.688    -0.474    -1.638     1.662     0.391     0.378     0.457    -0.457     1.321    -0.219    -0.251     0.261    -0.666     0.385     1.079     1.090     0.462     0.155     1.961    -1.248    -1.225     0.599    -2.493    -0.152  10
    -1.771    -1.822    -0.373    -1.588    -0.843    -1.433    -0.636     0.603     1.264     1.166    -1.149    -1.577    -1.578     0.423    -2.387    -0.710    -0.371    -0.371     0.243    -0.882     0.130    -1.582    -1.584     0.442    -2.468    -0.709     1.146     1.156     0.538     0.066     2.187  11
     1.718     0.840    -0.841     1.265    -0.459     0.708     1.058     0.564    -0.969     0.635     0.624     1.576     1.572     0.409     0.782     2.393    -0.738    -0.751     0.246    -1.206    -0.231     0.785     0.782     0.417    -0.037     1.596    -0.464    -0.477     0.597    -1.590     0.737  12
     0.971     0.307    -0.139     0.631    -0.843     1.511    -0.294     0.289     0.057    -0.786     1.438     0.944     0.934     0.411     0.142     1.792    -0.204    -0.190     0.241    -0.724     0.272     0.931     0.931     0.451     0.040     1.850    -0.200    -0.180     0.532    -1.301     0.811  13
    -1.771     0.573     0.094    -0.637    -0.074    -1.701    -0.671     1.749     1.082     1.289    -0.973    -1.239    -1.237     0.439    -2.069    -0.354     0.057     0.054     0.236    -0.422     0.528    -1.368    -1.367     0.425    -2.221    -0.560     1.478     1.470     0.542     0.460     2.579  14
     0.721    -0.491    -0.607    -0.954    -0.074     0.440    -0.223     1.235     0.224     0.104     1.055     0.264     0.277     0.432    -0.619     1.085    -0.419    -0.453     0.270    -0.888     0.175     0.183     0.178     0.447    -0.710     1.053     0.380     0.356     0.559    -0.695     1.496  15
    -1.023    -0.225    -0.607    -1.588    -0.843    -1.433    -0.896     0.603     0.768     0.635    -0.366    -1.016    -1.017     0.415    -1.825    -0.193    -0.571    -0.576     0.240    -1.050    -0.076    -1.306    -1.316     0.432    -2.142    -0.452     0.760     0.760     0.534    -0.335     1.798  16
