date	time	subject	build	blocknum	trialnum	blockcode	trialcode	pretrialpause	posttrialpause	windowcenter	trialduration	trialtimeout	blocktimeout	response	correct	latency	inwindow	stimulusnumber1	stimulusitem1	stimulusvpos1	stimulushpos1	stimulusonset1	stimulusnumber2	stimulusitem2	stimulusvpos2	stimulushpos2	stimulusonset2	stimulusnumber3	stimulusitem3	stimulusvpos3	stimulushpos3	stimulusonset3	stimulusnumber4	stimulusitem4	stimulusvpos4	stimulushpos4	stimulusonset4	stimulusnumber5	stimulusitem5	stimulusvpos5	stimulushpos5	stimulusonset5	stimulusnumber6	stimulusitem6	stimulusvpos6	stimulushpos6	stimulusonset6	
081707	17:11	1	2.0.61004.5	1	17	congruent	congruentleft	0	0	0	0	1500	1500	18	1	331	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	507	1	leftarrow.jpg	50	50	507	1	leftarrow.jpg	50	58.0078125	507	1	leftarrow.jpg	50	66.015625	507	
081707	17:11	1	2.0.61004.5	1	18	congruent	congruentright	0	0	0	0	1500	1500	23	1	330	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	19	congruent	incongruentright	0	0	0	0	1500	1500	18	0	349	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	20	congruent	incongruentleft	0	0	0	0	1500	1500	18	1	562	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	21	congruent	incongruentright	0	0	0	0	1500	1500	23	1	425	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	22	congruent	congruentright	0	0	0	0	1500	1500	23	1	502	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	23	congruent	congruentright	0	0	0	0	1500	1500	23	1	443	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	507	1	rightarrow.jpg	50	66.015625	507	
081707	17:11	1	2.0.61004.5	1	24	congruent	congruentright	0	0	0	0	1500	1500	23	1	409	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	25	congruent	incongruentleft	0	0	0	0	1500	1500	18	1	396	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	26	congruent	congruentright	0	0	0	0	1500	1500	23	1	382	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	27	congruent	congruentleft	0	0	0	0	1500	1500	18	1	383	0	1	+	50	50	0	1	leftarrow.jpg	50	33.984375	506	1	leftarrow.jpg	50	41.9921875	506	1	leftarrow.jpg	50	50	506	1	leftarrow.jpg	50	58.0078125	506	1	leftarrow.jpg	50	66.015625	506	
081707	17:11	1	2.0.61004.5	1	28	congruent	congruentright	0	0	0	0	1500	1500	23	1	388	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	508	1	rightarrow.jpg	50	41.9921875	508	1	rightarrow.jpg	50	50	508	1	rightarrow.jpg	50	58.0078125	508	1	rightarrow.jpg	50	66.015625	508	
081707	17:11	1	2.0.61004.5	1	29	congruent	congruentright	0	0	0	0	1500	1500	23	1	439	0	1	+	50	50	0	1	rightarrow.jpg	50	33.984375	506	1	rightarrow.jpg	50	41.9921875	506	1	rightarrow.jpg	50	50	506	1	rightarrow.jpg	50	58.0078125	506	1	rightarrow.jpg	50	66.015625	506	
